,rule,candidate,answer
0,Sweep the food into the sink,brick food,yes
1,Sweep the food into the sink,brick sink,yes
2,Sweep the food into the sink,brick stove,no
3,Sweep the food into the sink,brick pan,no
4,Sweep the food into the sink,tiles food,yes
5,Sweep the food into the sink,tiles sink,no
6,Sweep the food into the sink,tiles stove,no
7,Sweep the food into the sink,tiles pan,no
8,Sweep the food into the sink,wooden food,yes
9,Sweep the food into the sink,wooden sink,no
10,Sweep the food into the sink,wooden stove,no
11,Sweep the food into the sink,wooden pan,no
12,Sweep the food into the sink,granite food,no
13,Sweep the food into the sink,granite sink,no
14,Sweep the food into the sink,granite stove,no
15,Sweep the food into the sink,granite pan,no
16,Sweep the food into the sink,plastic food,yes
17,Sweep the food into the sink,plastic sink,no
18,Sweep the food into the sink,plastic stove,no
19,Sweep the food into the sink,plastic pan,no
20,Sweep the food into the sink,styrofoam food,yes
21,Sweep the food into the sink,styrofoam sink,no
22,Sweep the food into the sink,styrofoam stove,no
23,Sweep the food into the sink,styrofoam pan,no
24,Sweep the food into the sink,carpet food,yes
25,Sweep the food into the sink,carpet sink,no
26,Sweep the food into the sink,carpet stove,no
27,Sweep the food into the sink,carpet pan,no
28,Sweep the food into the sink,tiger food,no
29,Sweep the food into the sink,tiger sink,no
30,Sweep the food into the sink,tiger stove,no
31,Sweep the food into the sink,tiger pan,no
32,Sweep the food into the sink,rainbow food,no
33,Sweep the food into the sink,rainbow sink,no
34,Sweep the food into the sink,rainbow stove,no
35,Sweep the food into the sink,rainbow pan,no
36,Sweep the food into the sink,blue food,no
37,Sweep the food into the sink,blue sink,no
38,Sweep the food into the sink,blue stove,no
39,Sweep the food into the sink,blue pan,no
40,Sweep the food into the sink,green food,no
41,Sweep the food into the sink,green sink,no
42,Sweep the food into the sink,green stove,no
43,Sweep the food into the sink,green pan,no
44,Sweep the food into the sink,olive food,no
45,Sweep the food into the sink,olive sink,no
46,Sweep the food into the sink,olive stove,no
47,Sweep the food into the sink,olive pan,no
48,Sweep the food into the sink,orange food,no
49,Sweep the food into the sink,orange sink,no
50,Sweep the food into the sink,orange stove,yes
51,Sweep the food into the sink,orange pan,yes
52,Sweep the food into the sink,pink food,yes
53,Sweep the food into the sink,pink sink,no
54,Sweep the food into the sink,pink stove,yes
55,Sweep the food into the sink,pink pan,yes
56,Sweep the food into the sink,purple food,yes
57,Sweep the food into the sink,purple sink,no
58,Sweep the food into the sink,purple stove,no
59,Sweep the food into the sink,purple pan,no
60,Sweep the food into the sink,red food,yes
61,Sweep the food into the sink,red sink,no
62,Sweep the food into the sink,red stove,yes
63,Sweep the food into the sink,red pan,yes
64,Sweep the food into the sink,yellow food,no
65,Sweep the food into the sink,yellow sink,no
66,Sweep the food into the sink,yellow stove,yes
67,Sweep the food into the sink,yellow pan,yes
