,rule,candidate,answer
0,Bring me a cereal bowl,brick drying rack,no
1,Bring me a cereal bowl,brick drying cloth,no
2,Bring me a cereal bowl,brick dish towel,no
3,Bring me a cereal bowl,tiles drying rack,no
4,Bring me a cereal bowl,tiles drying cloth,no
5,Bring me a cereal bowl,tiles dish towel,no
6,Bring me a cereal bowl,wooden drying rack,yes
7,Bring me a cereal bowl,wooden drying cloth,yes
8,Bring me a cereal bowl,wooden dish towel,yes
9,Bring me a cereal bowl,granite drying rack,yes
10,Bring me a cereal bowl,granite drying cloth,yes
11,Bring me a cereal bowl,granite dish towel,yes
12,Bring me a cereal bowl,plastic drying rack,yes
13,Bring me a cereal bowl,plastic drying cloth,yes
14,Bring me a cereal bowl,plastic dish towel,yes
15,Bring me a cereal bowl,carpet drying rack,no
16,Bring me a cereal bowl,carpet drying cloth,no
17,Bring me a cereal bowl,carpet dish towel,no
18,Bring me a cereal bowl,tiger drying rack,no
19,Bring me a cereal bowl,tiger drying cloth,no
20,Bring me a cereal bowl,tiger dish towel,no
21,Bring me a cereal bowl,rainbow drying rack,no
22,Bring me a cereal bowl,rainbow drying cloth,no
23,Bring me a cereal bowl,rainbow dish towel,no
24,Bring me a cereal bowl,blue drying rack,yes
25,Bring me a cereal bowl,blue drying cloth,yes
26,Bring me a cereal bowl,blue dish towel,yes
27,Bring me a cereal bowl,green drying rack,yes
28,Bring me a cereal bowl,green drying cloth,yes
29,Bring me a cereal bowl,green dish towel,yes
30,Bring me a cereal bowl,olive drying rack,yes
31,Bring me a cereal bowl,olive drying cloth,yes
32,Bring me a cereal bowl,olive dish towel,yes
33,Bring me a cereal bowl,orange drying rack,yes
34,Bring me a cereal bowl,orange drying cloth,yes
35,Bring me a cereal bowl,orange dish towel,yes
36,Bring me a cereal bowl,pink drying rack,yes
37,Bring me a cereal bowl,pink drying cloth,yes
38,Bring me a cereal bowl,pink dish towel,yes
39,Bring me a cereal bowl,purple drying rack,yes
40,Bring me a cereal bowl,purple drying cloth,yes
41,Bring me a cereal bowl,purple dish towel,yes
42,Bring me a cereal bowl,red drying rack,yes
43,Bring me a cereal bowl,red drying cloth,yes
44,Bring me a cereal bowl,red dish towel,yes
45,Bring me a cereal bowl,yellow drying rack,yes
46,Bring me a cereal bowl,yellow drying cloth,yes
47,Bring me a cereal bowl,yellow dish towel,yes
