,rule,candidate,answer
0,Put down the mug,brick mug,no
1,Put down the mug,brick book,no
2,Put down the mug,brick iPad,yes
3,Put down the mug,brick phone,yes
4,Put down the mug,brick laptop,yes
5,Put down the mug,tiles mug,no
6,Put down the mug,tiles book,no
7,Put down the mug,tiles iPad,yes
8,Put down the mug,tiles phone,yes
9,Put down the mug,tiles laptop,yes
10,Put down the mug,wooden mug,no
11,Put down the mug,wooden book,no
12,Put down the mug,wooden iPad,yes
13,Put down the mug,wooden phone,yes
14,Put down the mug,wooden laptop,yes
15,Put down the mug,granite mug,yes
16,Put down the mug,granite book,no
17,Put down the mug,granite iPad,yes
18,Put down the mug,granite phone,yes
19,Put down the mug,granite laptop,yes
20,Put down the mug,plastic mug,no
21,Put down the mug,plastic book,no
22,Put down the mug,plastic iPad,yes
23,Put down the mug,plastic phone,yes
24,Put down the mug,plastic laptop,yes
25,Put down the mug,carpet mug,yes
26,Put down the mug,carpet book,no
27,Put down the mug,carpet iPad,yes
28,Put down the mug,carpet phone,yes
29,Put down the mug,carpet laptop,yes
30,Put down the mug,tiger mug,no
31,Put down the mug,tiger book,no
32,Put down the mug,tiger iPad,yes
33,Put down the mug,tiger phone,yes
34,Put down the mug,tiger laptop,yes
35,Put down the mug,rainbow mug,no
36,Put down the mug,rainbow book,no
37,Put down the mug,rainbow iPad,yes
38,Put down the mug,rainbow phone,yes
39,Put down the mug,rainbow laptop,yes
40,Put down the mug,blue mug,no
41,Put down the mug,blue book,no
42,Put down the mug,blue iPad,yes
43,Put down the mug,blue phone,yes
44,Put down the mug,blue laptop,yes
45,Put down the mug,green mug,no
46,Put down the mug,green book,no
47,Put down the mug,green iPad,no
48,Put down the mug,green phone,yes
49,Put down the mug,green laptop,yes
50,Put down the mug,olive mug,no
51,Put down the mug,olive book,no
52,Put down the mug,olive iPad,yes
53,Put down the mug,olive phone,yes
54,Put down the mug,olive laptop,yes
55,Put down the mug,orange mug,no
56,Put down the mug,orange book,no
57,Put down the mug,orange iPad,yes
58,Put down the mug,orange phone,yes
59,Put down the mug,orange laptop,yes
60,Put down the mug,pink mug,yes
61,Put down the mug,pink book,no
62,Put down the mug,pink iPad,yes
63,Put down the mug,pink phone,yes
64,Put down the mug,pink laptop,yes
65,Put down the mug,purple mug,no
66,Put down the mug,purple book,no
67,Put down the mug,purple iPad,yes
68,Put down the mug,purple phone,yes
69,Put down the mug,purple laptop,yes
70,Put down the mug,red mug,no
71,Put down the mug,red book,no
72,Put down the mug,red iPad,yes
73,Put down the mug,red phone,yes
74,Put down the mug,red laptop,yes
75,Put down the mug,yellow mug,no
76,Put down the mug,yellow book,no
77,Put down the mug,yellow iPad,no
78,Put down the mug,yellow phone,yes
79,Put down the mug,yellow laptop,yes
