,rule,candidate,answer
0,Put down the pan,brick coaster,yes
1,Put down the pan,brick pallet,no
2,Put down the pan,brick pan,no
3,Put down the pan,brick stove,no
4,Put down the pan,tiles coaster,no
5,Put down the pan,tiles pallet,no
6,Put down the pan,tiles pan,no
7,Put down the pan,tiles stove,no
8,Put down the pan,wooden coaster,yes
9,Put down the pan,wooden pallet,no
10,Put down the pan,wooden pan,no
11,Put down the pan,wooden stove,no
12,Put down the pan,granite coaster,yes
13,Put down the pan,granite pallet,no
14,Put down the pan,granite pan,yes
15,Put down the pan,granite stove,no
16,Put down the pan,plastic coaster,yes
17,Put down the pan,plastic pallet,no
18,Put down the pan,plastic pan,no
19,Put down the pan,plastic stove,no
20,Put down the pan,styrofoam coaster,yes
21,Put down the pan,styrofoam pallet,yes
22,Put down the pan,styrofoam pan,no
23,Put down the pan,styrofoam stove,no
24,Put down the pan,carpet coaster,no
25,Put down the pan,carpet pallet,no
26,Put down the pan,carpet pan,no
27,Put down the pan,carpet stove,no
28,Put down the pan,tiger coaster,yes
29,Put down the pan,tiger pallet,no
30,Put down the pan,tiger pan,no
31,Put down the pan,tiger stove,no
32,Put down the pan,rainbow coaster,yes
33,Put down the pan,rainbow pallet,no
34,Put down the pan,rainbow pan,no
35,Put down the pan,rainbow stove,no
36,Put down the pan,blue coaster,no
37,Put down the pan,blue pallet,no
38,Put down the pan,blue pan,no
39,Put down the pan,blue stove,no
40,Put down the pan,green coaster,no
41,Put down the pan,green pallet,no
42,Put down the pan,green pan,no
43,Put down the pan,green stove,no
44,Put down the pan,olive coaster,yes
45,Put down the pan,olive pallet,no
46,Put down the pan,olive pan,no
47,Put down the pan,olive stove,no
48,Put down the pan,orange coaster,no
49,Put down the pan,orange pallet,yes
50,Put down the pan,orange pan,no
51,Put down the pan,orange stove,no
52,Put down the pan,pink coaster,no
53,Put down the pan,pink pallet,no
54,Put down the pan,pink pan,no
55,Put down the pan,pink stove,no
56,Put down the pan,purple coaster,no
57,Put down the pan,purple pallet,no
58,Put down the pan,purple pan,no
59,Put down the pan,purple stove,no
60,Put down the pan,red coaster,no
61,Put down the pan,red pallet,no
62,Put down the pan,red pan,no
63,Put down the pan,red stove,no
64,Put down the pan,yellow coaster,yes
65,Put down the pan,yellow pallet,no
66,Put down the pan,yellow pan,no
67,Put down the pan,yellow stove,no
