,rule,candidate,answer
0,Bring me my favorite food,brick tomato,no
1,Bring me my favorite food,brick peach,no
2,Bring me my favorite food,brick apple,yes
3,Bring me my favorite food,brick banana,yes
4,Bring me my favorite food,brick pepper,yes
5,Bring me my favorite food,tiles tomato,no
6,Bring me my favorite food,tiles peach,no
7,Bring me my favorite food,tiles apple,no
8,Bring me my favorite food,tiles banana,yes
9,Bring me my favorite food,tiles pepper,yes
10,Bring me my favorite food,wooden tomato,yes
11,Bring me my favorite food,wooden peach,no
12,Bring me my favorite food,wooden apple,no
13,Bring me my favorite food,wooden banana,yes
14,Bring me my favorite food,wooden pepper,yes
15,Bring me my favorite food,granite tomato,yes
16,Bring me my favorite food,granite peach,no
17,Bring me my favorite food,granite apple,no
18,Bring me my favorite food,granite banana,yes
19,Bring me my favorite food,granite pepper,yes
20,Bring me my favorite food,plastic tomato,yes
21,Bring me my favorite food,plastic peach,no
22,Bring me my favorite food,plastic apple,no
23,Bring me my favorite food,plastic banana,yes
24,Bring me my favorite food,plastic pepper,yes
25,Bring me my favorite food,styrofoam tomato,yes
26,Bring me my favorite food,styrofoam peach,no
27,Bring me my favorite food,styrofoam apple,no
28,Bring me my favorite food,styrofoam banana,yes
29,Bring me my favorite food,styrofoam pepper,yes
30,Bring me my favorite food,carpet tomato,yes
31,Bring me my favorite food,carpet peach,no
32,Bring me my favorite food,carpet apple,no
33,Bring me my favorite food,carpet banana,no
34,Bring me my favorite food,carpet pepper,no
35,Bring me my favorite food,tiger tomato,no
36,Bring me my favorite food,tiger peach,no
37,Bring me my favorite food,tiger apple,no
38,Bring me my favorite food,tiger banana,yes
39,Bring me my favorite food,tiger pepper,yes
40,Bring me my favorite food,rainbow tomato,yes
41,Bring me my favorite food,rainbow peach,no
42,Bring me my favorite food,rainbow apple,no
43,Bring me my favorite food,rainbow banana,yes
44,Bring me my favorite food,rainbow pepper,yes
45,Bring me my favorite food,blue tomato,yes
46,Bring me my favorite food,blue peach,no
47,Bring me my favorite food,blue apple,no
48,Bring me my favorite food,blue banana,yes
49,Bring me my favorite food,blue pepper,yes
50,Bring me my favorite food,green tomato,yes
51,Bring me my favorite food,green peach,no
52,Bring me my favorite food,green apple,no
53,Bring me my favorite food,green banana,yes
54,Bring me my favorite food,green pepper,yes
55,Bring me my favorite food,olive tomato,yes
56,Bring me my favorite food,olive peach,no
57,Bring me my favorite food,olive apple,no
58,Bring me my favorite food,olive banana,yes
59,Bring me my favorite food,olive pepper,yes
60,Bring me my favorite food,orange tomato,yes
61,Bring me my favorite food,orange peach,no
62,Bring me my favorite food,orange apple,no
63,Bring me my favorite food,orange banana,yes
64,Bring me my favorite food,orange pepper,yes
65,Bring me my favorite food,pink tomato,yes
66,Bring me my favorite food,pink peach,no
67,Bring me my favorite food,pink apple,no
68,Bring me my favorite food,pink banana,yes
69,Bring me my favorite food,pink pepper,yes
70,Bring me my favorite food,purple tomato,yes
71,Bring me my favorite food,purple peach,no
72,Bring me my favorite food,purple apple,no
73,Bring me my favorite food,purple banana,yes
74,Bring me my favorite food,purple pepper,yes
75,Bring me my favorite food,red tomato,yes
76,Bring me my favorite food,red peach,no
77,Bring me my favorite food,red apple,no
78,Bring me my favorite food,red banana,no
79,Bring me my favorite food,red pepper,yes
80,Bring me my favorite food,yellow tomato,no
81,Bring me my favorite food,yellow peach,no
82,Bring me my favorite food,yellow apple,yes
83,Bring me my favorite food,yellow banana,yes
84,Bring me my favorite food,yellow pepper,yes
