,rule,candidate,answer
0,Bring me something to put food in,brick mug,no
1,Bring me something to put food in,brick cup,no
2,Bring me something to put food in,brick saucer,no
3,Bring me something to put food in,brick bowl,yes
4,Bring me something to put food in,tiles mug,no
5,Bring me something to put food in,tiles cup,no
6,Bring me something to put food in,tiles saucer,no
7,Bring me something to put food in,tiles bowl,yes
8,Bring me something to put food in,wooden mug,no
9,Bring me something to put food in,wooden cup,no
10,Bring me something to put food in,wooden saucer,no
11,Bring me something to put food in,wooden bowl,yes
12,Bring me something to put food in,granite mug,no
13,Bring me something to put food in,granite cup,no
14,Bring me something to put food in,granite saucer,no
15,Bring me something to put food in,granite bowl,yes
16,Bring me something to put food in,plastic mug,no
17,Bring me something to put food in,plastic cup,no
18,Bring me something to put food in,plastic saucer,no
19,Bring me something to put food in,plastic bowl,yes
20,Bring me something to put food in,carpet mug,no
21,Bring me something to put food in,carpet cup,no
22,Bring me something to put food in,carpet saucer,no
23,Bring me something to put food in,carpet bowl,yes
24,Bring me something to put food in,tiger mug,no
25,Bring me something to put food in,tiger cup,no
26,Bring me something to put food in,tiger saucer,no
27,Bring me something to put food in,tiger bowl,yes
28,Bring me something to put food in,rainbow mug,no
29,Bring me something to put food in,rainbow cup,no
30,Bring me something to put food in,rainbow saucer,no
31,Bring me something to put food in,rainbow bowl,no
32,Bring me something to put food in,blue mug,no
33,Bring me something to put food in,blue cup,no
34,Bring me something to put food in,blue saucer,no
35,Bring me something to put food in,blue bowl,no
36,Bring me something to put food in,green mug,no
37,Bring me something to put food in,green cup,no
38,Bring me something to put food in,green saucer,no
39,Bring me something to put food in,green bowl,no
40,Bring me something to put food in,olive mug,no
41,Bring me something to put food in,olive cup,no
42,Bring me something to put food in,olive saucer,no
43,Bring me something to put food in,olive bowl,yes
44,Bring me something to put food in,orange mug,no
45,Bring me something to put food in,orange cup,no
46,Bring me something to put food in,orange saucer,no
47,Bring me something to put food in,orange bowl,no
48,Bring me something to put food in,pink mug,no
49,Bring me something to put food in,pink cup,no
50,Bring me something to put food in,pink saucer,no
51,Bring me something to put food in,pink bowl,no
52,Bring me something to put food in,purple mug,no
53,Bring me something to put food in,purple cup,no
54,Bring me something to put food in,purple saucer,no
55,Bring me something to put food in,purple bowl,no
56,Bring me something to put food in,red mug,no
57,Bring me something to put food in,red cup,no
58,Bring me something to put food in,red saucer,no
59,Bring me something to put food in,red bowl,no
60,Bring me something to put food in,yellow mug,no
61,Bring me something to put food in,yellow cup,no
62,Bring me something to put food in,yellow saucer,no
63,Bring me something to put food in,yellow bowl,no
