,rule,candidate,answer
0,Bring me a fruit,brick tomato,no
1,Bring me a fruit,brick apple,yes
2,Bring me a fruit,brick banana,yes
3,Bring me a fruit,brick pepper,no
4,Bring me a fruit,tiles tomato,yes
5,Bring me a fruit,tiles apple,yes
6,Bring me a fruit,tiles banana,no
7,Bring me a fruit,tiles pepper,yes
8,Bring me a fruit,wooden tomato,no
9,Bring me a fruit,wooden apple,no
10,Bring me a fruit,wooden banana,yes
11,Bring me a fruit,wooden pepper,no
12,Bring me a fruit,granite tomato,yes
13,Bring me a fruit,granite apple,yes
14,Bring me a fruit,granite banana,no
15,Bring me a fruit,granite pepper,no
16,Bring me a fruit,plastic tomato,yes
17,Bring me a fruit,plastic apple,yes
18,Bring me a fruit,plastic banana,no
19,Bring me a fruit,plastic pepper,no
20,Bring me a fruit,carpet tomato,yes
21,Bring me a fruit,carpet apple,yes
22,Bring me a fruit,carpet banana,yes
23,Bring me a fruit,carpet pepper,no
24,Bring me a fruit,tiger tomato,yes
25,Bring me a fruit,tiger apple,no
26,Bring me a fruit,tiger banana,no
27,Bring me a fruit,tiger pepper,no
28,Bring me a fruit,rainbow tomato,yes
29,Bring me a fruit,rainbow apple,no
30,Bring me a fruit,rainbow banana,no
31,Bring me a fruit,rainbow pepper,no
32,Bring me a fruit,blue tomato,no
33,Bring me a fruit,blue apple,yes
34,Bring me a fruit,blue banana,no
35,Bring me a fruit,blue pepper,no
36,Bring me a fruit,green tomato,no
37,Bring me a fruit,green apple,no
38,Bring me a fruit,green banana,no
39,Bring me a fruit,green pepper,no
40,Bring me a fruit,olive tomato,no
41,Bring me a fruit,olive apple,no
42,Bring me a fruit,olive banana,yes
43,Bring me a fruit,olive pepper,no
44,Bring me a fruit,orange tomato,yes
45,Bring me a fruit,orange apple,no
46,Bring me a fruit,orange banana,no
47,Bring me a fruit,orange pepper,yes
48,Bring me a fruit,pink tomato,yes
49,Bring me a fruit,pink apple,yes
50,Bring me a fruit,pink banana,yes
51,Bring me a fruit,pink pepper,no
52,Bring me a fruit,purple tomato,yes
53,Bring me a fruit,purple apple,yes
54,Bring me a fruit,purple banana,yes
55,Bring me a fruit,purple pepper,yes
56,Bring me a fruit,red tomato,yes
57,Bring me a fruit,red apple,yes
58,Bring me a fruit,red banana,no
59,Bring me a fruit,red pepper,yes
60,Bring me a fruit,yellow tomato,yes
61,Bring me a fruit,yellow apple,yes
62,Bring me a fruit,yellow banana,yes
63,Bring me a fruit,yellow pepper,no
