,rule,group,candidate,answer
0,Bring me something I could find in a kitchen,object type,L-shaped block,no
1,Bring me something I could find in a kitchen,object type,block,no
2,Bring me something I could find in a kitchen,object type,bowl,yes
3,Bring me something I could find in a kitchen,object type,container,yes
4,Bring me something I could find in a kitchen,object type,cross (block of this shape),no
5,Bring me something I could find in a kitchen,object type,diamond (block of this shape),no
6,Bring me something I could find in a kitchen,object type,flower (block of this shape),no
7,Bring me something I could find in a kitchen,object type,heart (block of this shape),no
8,Bring me something I could find in a kitchen,object type,hexagon (block of this shape),no
9,Bring me something I could find in a kitchen,object type,letter A,no
10,Bring me something I could find in a kitchen,object type,letter E,no
11,Bring me something I could find in a kitchen,object type,letter G,no
12,Bring me something I could find in a kitchen,object type,letter M,no
13,Bring me something I could find in a kitchen,object type,letter R,no
14,Bring me something I could find in a kitchen,object type,letter T,no
15,Bring me something I could find in a kitchen,object type,letter V,no
16,Bring me something I could find in a kitchen,object type,pallet,no
17,Bring me something I could find in a kitchen,object type,pan,yes
18,Bring me something I could find in a kitchen,object type,pentagon (block of this shape),no
19,Bring me something I could find in a kitchen,object type,ring (block of this shape),no
20,Bring me something I could find in a kitchen,object type,round (block of this shape),no
21,Bring me something I could find in a kitchen,object type,shorter block,no
22,Bring me something I could find in a kitchen,object type,small block,no
23,Bring me something I could find in a kitchen,object type,star (block of this shape),no
24,Bring me something I could find in a kitchen,object type,triangle (block of this shape),no
25,Bring me something I could find in a kitchen,object color,brick,yes
26,Bring me something I could find in a kitchen,object color,tiles,yes
27,Bring me something I could find in a kitchen,object color,wooden,yes
28,Bring me something I could find in a kitchen,object color,granite,yes
29,Bring me something I could find in a kitchen,object color,plastic,yes
30,Bring me something I could find in a kitchen,object color,polka dot,yes
31,Bring me something I could find in a kitchen,object color,checkerboard,yes
32,Bring me something I could find in a kitchen,object color,tiger,yes
33,Bring me something I could find in a kitchen,object color,magma,yes
34,Bring me something I could find in a kitchen,object color,rainbow,yes
35,Bring me something I could find in a kitchen,object color,blue,yes
36,Bring me something I could find in a kitchen,object color,cyan,yes
37,Bring me something I could find in a kitchen,object color,green,yes
38,Bring me something I could find in a kitchen,object color,olive,yes
39,Bring me something I could find in a kitchen,object color,orange,yes
40,Bring me something I could find in a kitchen,object color,pink,yes
41,Bring me something I could find in a kitchen,object color,purple,yes
42,Bring me something I could find in a kitchen,object color,red,yes
43,Bring me something I could find in a kitchen,object color,yellow,yes
44,Bring me something I could find in a kitchen,object color,dark blue,yes
45,Bring me something I could find in a kitchen,object color,dark cyan,yes
46,Bring me something I could find in a kitchen,object color,dark green,yes
47,Bring me something I could find in a kitchen,object color,dark orange,yes
48,Bring me something I could find in a kitchen,object color,dark pink,yes
49,Bring me something I could find in a kitchen,object color,dark purple,yes
50,Bring me something I could find in a kitchen,object color,dark red,yes
51,Bring me something I could find in a kitchen,object color,dark yellow,yes
52,Bring me something I could find in a kitchen,object color,red and yellow stripe,yes
53,Bring me something I could find in a kitchen,object color,red and green stripe,yes
54,Bring me something I could find in a kitchen,object color,red and blue stripe,yes
55,Bring me something I could find in a kitchen,object color,red and purple stripe,yes
56,Bring me something I could find in a kitchen,object color,yellow and green stripe,yes
57,Bring me something I could find in a kitchen,object color,yellow and blue stripe,yes
58,Bring me something I could find in a kitchen,object color,yellow and purple stripe,yes
59,Bring me something I could find in a kitchen,object color,green and blue stripe,yes
60,Bring me something I could find in a kitchen,object color,green and purple stripe,yes
61,Bring me something I could find in a kitchen,object color,blue and purple stripe,yes
62,Bring me something I could find in a kitchen,object color,dark red and yellow stripe,yes
63,Bring me something I could find in a kitchen,object color,dark red and green stripe,yes
64,Bring me something I could find in a kitchen,object color,dark red and blue stripe,yes
65,Bring me something I could find in a kitchen,object color,dark red and purple stripe,yes
66,Bring me something I could find in a kitchen,object color,dark yellow and green stripe,yes
67,Bring me something I could find in a kitchen,object color,dark yellow and blue stripe,yes
68,Bring me something I could find in a kitchen,object color,dark yellow and purple stripe,yes
69,Bring me something I could find in a kitchen,object color,dark green and blue stripe,yes
70,Bring me something I could find in a kitchen,object color,dark green and purple stripe,yes
71,Bring me something I could find in a kitchen,object color,dark blue and purple stripe,yes
72,Bring me something I could find in a kitchen,object color,red and yellow polka dot,yes
73,Bring me something I could find in a kitchen,object color,red and green polka dot,yes
74,Bring me something I could find in a kitchen,object color,red and blue polka dot,yes
75,Bring me something I could find in a kitchen,object color,red and purple polka dot,yes
76,Bring me something I could find in a kitchen,object color,yellow and green polka dot,yes
77,Bring me something I could find in a kitchen,object color,yellow and blue polka dot,yes
78,Bring me something I could find in a kitchen,object color,yellow and purple polka dot,yes
79,Bring me something I could find in a kitchen,object color,green and blue polka dot,yes
80,Bring me something I could find in a kitchen,object color,green and purple polka dot,yes
81,Bring me something I could find in a kitchen,object color,blue and purple polka dot,yes
82,Bring me something I could find in a kitchen,object color,dark red and yellow polka dot,yes
83,Bring me something I could find in a kitchen,object color,dark red and green polka dot,yes
84,Bring me something I could find in a kitchen,object color,dark red and blue polka dot,yes
85,Bring me something I could find in a kitchen,object color,dark red and purple polka dot,yes
86,Bring me something I could find in a kitchen,object color,dark yellow and green polka dot,yes
87,Bring me something I could find in a kitchen,object color,dark yellow and blue polka dot,yes
88,Bring me something I could find in a kitchen,object color,dark yellow and purple polka dot,yes
89,Bring me something I could find in a kitchen,object color,dark green and blue polka dot,yes
90,Bring me something I could find in a kitchen,object color,dark green and purple polka dot,yes
91,Bring me something I could find in a kitchen,object color,dark blue and purple polka dot,yes
92,Bring me something I could find in a kitchen,object color,red swirl,yes
93,Bring me something I could find in a kitchen,object color,yellow swirl,yes
94,Bring me something I could find in a kitchen,object color,green swirl,yes
95,Bring me something I could find in a kitchen,object color,blue swirl,yes
96,Bring me something I could find in a kitchen,object color,purple swirl,yes
97,Bring me something I could find in a kitchen,object color,dark red swirl,yes
98,Bring me something I could find in a kitchen,object color,dark yellow swirl,yes
99,Bring me something I could find in a kitchen,object color,dark green swirl,yes
100,Bring me something I could find in a kitchen,object color,dark blue swirl,yes
101,Bring me something I could find in a kitchen,object color,dark purple swirl,yes
102,Bring me something I could find in a kitchen,object color,red paisley,yes
103,Bring me something I could find in a kitchen,object color,yellow paisley,yes
104,Bring me something I could find in a kitchen,object color,green paisley,yes
105,Bring me something I could find in a kitchen,object color,blue paisley,yes
106,Bring me something I could find in a kitchen,object color,purple paisley,yes
