,rule,candidate,answer
0,Put away the cardboard box,brick tomato,no
1,Put away the cardboard box,brick bin,no
2,Put away the cardboard box,brick container,no
3,Put away the cardboard box,brick box,no
4,Put away the cardboard box,tiles tomato,no
5,Put away the cardboard box,tiles bin,no
6,Put away the cardboard box,tiles container,no
7,Put away the cardboard box,tiles box,no
8,Put away the cardboard box,wooden tomato,no
9,Put away the cardboard box,wooden bin,no
10,Put away the cardboard box,wooden container,no
11,Put away the cardboard box,wooden box,no
12,Put away the cardboard box,granite tomato,no
13,Put away the cardboard box,granite bin,no
14,Put away the cardboard box,granite container,no
15,Put away the cardboard box,granite box,no
16,Put away the cardboard box,plastic tomato,no
17,Put away the cardboard box,plastic bin,no
18,Put away the cardboard box,plastic container,no
19,Put away the cardboard box,plastic box,no
20,Put away the cardboard box,styrofoam tomato,no
21,Put away the cardboard box,styrofoam bin,no
22,Put away the cardboard box,styrofoam container,no
23,Put away the cardboard box,styrofoam box,no
24,Put away the cardboard box,carpet tomato,no
25,Put away the cardboard box,carpet bin,no
26,Put away the cardboard box,carpet container,no
27,Put away the cardboard box,carpet box,no
28,Put away the cardboard box,tiger tomato,no
29,Put away the cardboard box,tiger bin,no
30,Put away the cardboard box,tiger container,no
31,Put away the cardboard box,tiger box,no
32,Put away the cardboard box,rainbow tomato,no
33,Put away the cardboard box,rainbow bin,no
34,Put away the cardboard box,rainbow container,no
35,Put away the cardboard box,rainbow box,no
36,Put away the cardboard box,blue tomato,no
37,Put away the cardboard box,blue bin,no
38,Put away the cardboard box,blue container,no
39,Put away the cardboard box,blue box,no
40,Put away the cardboard box,green tomato,no
41,Put away the cardboard box,green bin,yes
42,Put away the cardboard box,green container,yes
43,Put away the cardboard box,green box,yes
44,Put away the cardboard box,olive tomato,no
45,Put away the cardboard box,olive bin,no
46,Put away the cardboard box,olive container,no
47,Put away the cardboard box,olive box,no
48,Put away the cardboard box,orange tomato,no
49,Put away the cardboard box,orange bin,no
50,Put away the cardboard box,orange container,no
51,Put away the cardboard box,orange box,no
52,Put away the cardboard box,pink tomato,no
53,Put away the cardboard box,pink bin,no
54,Put away the cardboard box,pink container,no
55,Put away the cardboard box,pink box,no
56,Put away the cardboard box,purple tomato,no
57,Put away the cardboard box,purple bin,no
58,Put away the cardboard box,purple container,no
59,Put away the cardboard box,purple box,no
60,Put away the cardboard box,red tomato,no
61,Put away the cardboard box,red bin,no
62,Put away the cardboard box,red container,no
63,Put away the cardboard box,red box,no
64,Put away the cardboard box,yellow tomato,no
65,Put away the cardboard box,yellow bin,no
66,Put away the cardboard box,yellow container,no
67,Put away the cardboard box,yellow box,no
