,rule,object_category,group,candidate,answer
0,Sweep the scraps into the sink,object to sweep,object type,L-shaped block,yes
1,Sweep the scraps into the sink,object to sweep,object type,tomato,yes
2,Sweep the scraps into the sink,object to sweep,object type,peach,no
3,Sweep the scraps into the sink,object to sweep,object type,apple,yes
4,Sweep the scraps into the sink,object to sweep,object type,banana,no
5,Sweep the scraps into the sink,object to sweep,object type,pepper,yes
6,Sweep the scraps into the sink,object to sweep,object type,drying rack,no
7,Sweep the scraps into the sink,object to sweep,object type,drying cloth,no
8,Sweep the scraps into the sink,object to sweep,object type,dish towel,no
9,Sweep the scraps into the sink,object to sweep,object type,plate,no
10,Sweep the scraps into the sink,object to sweep,object type,mug,no
11,Sweep the scraps into the sink,object to sweep,object type,cup,no
12,Sweep the scraps into the sink,object to sweep,object type,saucer,no
13,Sweep the scraps into the sink,object to sweep,object type,coaster,no
14,Sweep the scraps into the sink,object to sweep,object type,block,yes
15,Sweep the scraps into the sink,object to sweep,object type,bowl,no
16,Sweep the scraps into the sink,object to sweep,object type,container,no
17,Sweep the scraps into the sink,object to sweep,object type,cross (block of this shape),yes
18,Sweep the scraps into the sink,object to sweep,object type,diamond (block of this shape),yes
19,Sweep the scraps into the sink,object to sweep,object type,flower (block of this shape),yes
20,Sweep the scraps into the sink,object to sweep,object type,heart (block of this shape),yes
21,Sweep the scraps into the sink,object to sweep,object type,hexagon (block of this shape),yes
22,Sweep the scraps into the sink,object to sweep,object type,letter A,yes
23,Sweep the scraps into the sink,object to sweep,object type,letter E,yes
24,Sweep the scraps into the sink,object to sweep,object type,letter G,yes
25,Sweep the scraps into the sink,object to sweep,object type,letter M,no
26,Sweep the scraps into the sink,object to sweep,object type,letter R,yes
27,Sweep the scraps into the sink,object to sweep,object type,letter T,yes
28,Sweep the scraps into the sink,object to sweep,object type,letter V,yes
29,Sweep the scraps into the sink,object to sweep,object type,pallet,no
30,Sweep the scraps into the sink,object to sweep,object type,pan,no
31,Sweep the scraps into the sink,object to sweep,object type,pentagon (block of this shape),yes
32,Sweep the scraps into the sink,object to sweep,object type,ring (block of this shape),yes
33,Sweep the scraps into the sink,object to sweep,object type,round (block of this shape),no
34,Sweep the scraps into the sink,object to sweep,object type,shorter block,yes
35,Sweep the scraps into the sink,object to sweep,object type,small block,yes
36,Sweep the scraps into the sink,object to sweep,object type,star (block of this shape),yes
37,Sweep the scraps into the sink,object to sweep,object type,triangle (block of this shape),yes
38,Sweep the scraps into the sink,object to sweep,object type,book,no
39,Sweep the scraps into the sink,object to sweep,object type,iPad,no
40,Sweep the scraps into the sink,object to sweep,object type,phone,no
41,Sweep the scraps into the sink,object to sweep,object type,laptop,no
42,Sweep the scraps into the sink,object to sweep,object type,bin,no
43,Sweep the scraps into the sink,object to sweep,object type,stove,no
44,Sweep the scraps into the sink,object to sweep,object type,sharp block,yes
45,Sweep the scraps into the sink,object to sweep,object type,knife,no
46,Sweep the scraps into the sink,object to sweep,object type,rug,no
47,Sweep the scraps into the sink,object to sweep,object type,box,no
48,Sweep the scraps into the sink,object to sweep,object color,brick,yes
49,Sweep the scraps into the sink,object to sweep,object color,tiles,yes
50,Sweep the scraps into the sink,object to sweep,object color,wooden,yes
51,Sweep the scraps into the sink,object to sweep,object color,granite,yes
52,Sweep the scraps into the sink,object to sweep,object color,plastic,yes
53,Sweep the scraps into the sink,object to sweep,object color,carpet,yes
54,Sweep the scraps into the sink,object to sweep,object color,polka dot,yes
55,Sweep the scraps into the sink,object to sweep,object color,checkerboard,yes
56,Sweep the scraps into the sink,object to sweep,object color,tiger,yes
57,Sweep the scraps into the sink,object to sweep,object color,magma,yes
58,Sweep the scraps into the sink,object to sweep,object color,rainbow,yes
59,Sweep the scraps into the sink,object to sweep,object color,blue,yes
60,Sweep the scraps into the sink,object to sweep,object color,cyan,yes
61,Sweep the scraps into the sink,object to sweep,object color,green,yes
62,Sweep the scraps into the sink,object to sweep,object color,olive,yes
63,Sweep the scraps into the sink,object to sweep,object color,orange,yes
64,Sweep the scraps into the sink,object to sweep,object color,pink,yes
65,Sweep the scraps into the sink,object to sweep,object color,purple,yes
66,Sweep the scraps into the sink,object to sweep,object color,red,yes
67,Sweep the scraps into the sink,object to sweep,object color,yellow,yes
68,Sweep the scraps into the sink,object to sweep,object color,dark blue,yes
69,Sweep the scraps into the sink,object to sweep,object color,dark cyan,yes
70,Sweep the scraps into the sink,object to sweep,object color,dark green,yes
71,Sweep the scraps into the sink,object to sweep,object color,dark orange,yes
72,Sweep the scraps into the sink,object to sweep,object color,dark pink,yes
73,Sweep the scraps into the sink,object to sweep,object color,dark purple,yes
74,Sweep the scraps into the sink,object to sweep,object color,dark red,yes
75,Sweep the scraps into the sink,object to sweep,object color,dark yellow,yes
76,Sweep the scraps into the sink,object to sweep,object color,red and yellow stripe,yes
77,Sweep the scraps into the sink,object to sweep,object color,red and green stripe,yes
78,Sweep the scraps into the sink,object to sweep,object color,red and blue stripe,yes
79,Sweep the scraps into the sink,object to sweep,object color,red and purple stripe,yes
80,Sweep the scraps into the sink,object to sweep,object color,yellow and green stripe,yes
81,Sweep the scraps into the sink,object to sweep,object color,yellow and blue stripe,yes
82,Sweep the scraps into the sink,object to sweep,object color,yellow and purple stripe,yes
83,Sweep the scraps into the sink,object to sweep,object color,green and blue stripe,yes
84,Sweep the scraps into the sink,object to sweep,object color,green and purple stripe,yes
85,Sweep the scraps into the sink,object to sweep,object color,blue and purple stripe,yes
86,Sweep the scraps into the sink,object to sweep,object color,dark red and yellow stripe,yes
87,Sweep the scraps into the sink,object to sweep,object color,dark red and green stripe,yes
88,Sweep the scraps into the sink,object to sweep,object color,dark red and blue stripe,yes
89,Sweep the scraps into the sink,object to sweep,object color,dark red and purple stripe,yes
90,Sweep the scraps into the sink,object to sweep,object color,dark yellow and green stripe,yes
91,Sweep the scraps into the sink,object to sweep,object color,dark yellow and blue stripe,yes
92,Sweep the scraps into the sink,object to sweep,object color,dark yellow and purple stripe,yes
93,Sweep the scraps into the sink,object to sweep,object color,dark green and blue stripe,yes
94,Sweep the scraps into the sink,object to sweep,object color,dark green and purple stripe,yes
95,Sweep the scraps into the sink,object to sweep,object color,dark blue and purple stripe,yes
96,Sweep the scraps into the sink,object to sweep,object color,red and yellow polka dot,yes
97,Sweep the scraps into the sink,object to sweep,object color,red and green polka dot,yes
98,Sweep the scraps into the sink,object to sweep,object color,red and blue polka dot,yes
99,Sweep the scraps into the sink,object to sweep,object color,red and purple polka dot,yes
100,Sweep the scraps into the sink,object to sweep,object color,yellow and green polka dot,yes
101,Sweep the scraps into the sink,object to sweep,object color,yellow and blue polka dot,yes
102,Sweep the scraps into the sink,object to sweep,object color,yellow and purple polka dot,yes
103,Sweep the scraps into the sink,object to sweep,object color,green and blue polka dot,yes
104,Sweep the scraps into the sink,object to sweep,object color,green and purple polka dot,yes
105,Sweep the scraps into the sink,object to sweep,object color,blue and purple polka dot,yes
106,Sweep the scraps into the sink,object to sweep,object color,dark red and yellow polka dot,yes
107,Sweep the scraps into the sink,object to sweep,object color,dark red and green polka dot,yes
108,Sweep the scraps into the sink,object to sweep,object color,dark red and blue polka dot,yes
109,Sweep the scraps into the sink,object to sweep,object color,dark red and purple polka dot,yes
110,Sweep the scraps into the sink,object to sweep,object color,dark yellow and green polka dot,yes
111,Sweep the scraps into the sink,object to sweep,object color,dark yellow and blue polka dot,yes
112,Sweep the scraps into the sink,object to sweep,object color,dark yellow and purple polka dot,yes
113,Sweep the scraps into the sink,object to sweep,object color,dark green and blue polka dot,yes
114,Sweep the scraps into the sink,object to sweep,object color,dark green and purple polka dot,yes
115,Sweep the scraps into the sink,object to sweep,object color,dark blue and purple polka dot,yes
116,Sweep the scraps into the sink,object to sweep,object color,red swirl,yes
117,Sweep the scraps into the sink,object to sweep,object color,yellow swirl,yes
118,Sweep the scraps into the sink,object to sweep,object color,green swirl,yes
119,Sweep the scraps into the sink,object to sweep,object color,blue swirl,yes
120,Sweep the scraps into the sink,object to sweep,object color,purple swirl,yes
121,Sweep the scraps into the sink,object to sweep,object color,dark red swirl,yes
122,Sweep the scraps into the sink,object to sweep,object color,dark yellow swirl,yes
123,Sweep the scraps into the sink,object to sweep,object color,dark green swirl,yes
124,Sweep the scraps into the sink,object to sweep,object color,dark blue swirl,yes
125,Sweep the scraps into the sink,object to sweep,object color,dark purple swirl,yes
126,Sweep the scraps into the sink,object to sweep,object color,red paisley,yes
127,Sweep the scraps into the sink,object to sweep,object color,yellow paisley,yes
128,Sweep the scraps into the sink,object to sweep,object color,green paisley,yes
129,Sweep the scraps into the sink,object to sweep,object color,blue paisley,yes
130,Sweep the scraps into the sink,object to sweep,object color,purple paisley,yes
131,Sweep the scraps into the sink,object to sweep into,object type,L-shaped block,no
132,Sweep the scraps into the sink,object to sweep into,object type,tomato,yes
133,Sweep the scraps into the sink,object to sweep into,object type,peach,no
134,Sweep the scraps into the sink,object to sweep into,object type,apple,yes
135,Sweep the scraps into the sink,object to sweep into,object type,banana,yes
136,Sweep the scraps into the sink,object to sweep into,object type,pepper,yes
137,Sweep the scraps into the sink,object to sweep into,object type,drying rack,no
138,Sweep the scraps into the sink,object to sweep into,object type,drying cloth,no
139,Sweep the scraps into the sink,object to sweep into,object type,dish towel,no
140,Sweep the scraps into the sink,object to sweep into,object type,plate,yes
141,Sweep the scraps into the sink,object to sweep into,object type,mug,no
142,Sweep the scraps into the sink,object to sweep into,object type,cup,no
143,Sweep the scraps into the sink,object to sweep into,object type,saucer,no
144,Sweep the scraps into the sink,object to sweep into,object type,coaster,no
145,Sweep the scraps into the sink,object to sweep into,object type,block,no
146,Sweep the scraps into the sink,object to sweep into,object type,bowl,no
147,Sweep the scraps into the sink,object to sweep into,object type,container,yes
148,Sweep the scraps into the sink,object to sweep into,object type,cross (block of this shape),yes
149,Sweep the scraps into the sink,object to sweep into,object type,diamond (block of this shape),yes
150,Sweep the scraps into the sink,object to sweep into,object type,flower (block of this shape),yes
151,Sweep the scraps into the sink,object to sweep into,object type,heart (block of this shape),no
152,Sweep the scraps into the sink,object to sweep into,object type,hexagon (block of this shape),no
153,Sweep the scraps into the sink,object to sweep into,object type,letter A,no
154,Sweep the scraps into the sink,object to sweep into,object type,letter E,no
155,Sweep the scraps into the sink,object to sweep into,object type,letter G,no
156,Sweep the scraps into the sink,object to sweep into,object type,letter M,no
157,Sweep the scraps into the sink,object to sweep into,object type,letter R,no
158,Sweep the scraps into the sink,object to sweep into,object type,letter T,no
159,Sweep the scraps into the sink,object to sweep into,object type,letter V,no
160,Sweep the scraps into the sink,object to sweep into,object type,pallet,yes
161,Sweep the scraps into the sink,object to sweep into,object type,pan,no
162,Sweep the scraps into the sink,object to sweep into,object type,pentagon (block of this shape),no
163,Sweep the scraps into the sink,object to sweep into,object type,ring (block of this shape),yes
164,Sweep the scraps into the sink,object to sweep into,object type,round (block of this shape),no
165,Sweep the scraps into the sink,object to sweep into,object type,shorter block,yes
166,Sweep the scraps into the sink,object to sweep into,object type,small block,no
167,Sweep the scraps into the sink,object to sweep into,object type,star (block of this shape),yes
168,Sweep the scraps into the sink,object to sweep into,object type,triangle (block of this shape),yes
169,Sweep the scraps into the sink,object to sweep into,object type,book,no
