,rule,candidate,answer
0,Sweep the scraps into the sink,brick food,no
1,Sweep the scraps into the sink,brick sink,yes
2,Sweep the scraps into the sink,brick knife,yes
3,Sweep the scraps into the sink,brick sharp block,yes
4,Sweep the scraps into the sink,brick book,no
5,Sweep the scraps into the sink,tiles food,no
6,Sweep the scraps into the sink,tiles sink,yes
7,Sweep the scraps into the sink,tiles knife,yes
8,Sweep the scraps into the sink,tiles sharp block,yes
9,Sweep the scraps into the sink,tiles book,no
10,Sweep the scraps into the sink,wooden food,no
11,Sweep the scraps into the sink,wooden sink,no
12,Sweep the scraps into the sink,wooden knife,yes
13,Sweep the scraps into the sink,wooden sharp block,yes
14,Sweep the scraps into the sink,wooden book,no
15,Sweep the scraps into the sink,granite food,no
16,Sweep the scraps into the sink,granite sink,no
17,Sweep the scraps into the sink,granite knife,yes
18,Sweep the scraps into the sink,granite sharp block,yes
19,Sweep the scraps into the sink,granite book,no
20,Sweep the scraps into the sink,plastic food,no
21,Sweep the scraps into the sink,plastic sink,no
22,Sweep the scraps into the sink,plastic knife,no
23,Sweep the scraps into the sink,plastic sharp block,no
24,Sweep the scraps into the sink,plastic book,no
25,Sweep the scraps into the sink,styrofoam food,no
26,Sweep the scraps into the sink,styrofoam sink,yes
27,Sweep the scraps into the sink,styrofoam knife,yes
28,Sweep the scraps into the sink,styrofoam sharp block,no
29,Sweep the scraps into the sink,styrofoam book,no
30,Sweep the scraps into the sink,carpet food,no
31,Sweep the scraps into the sink,carpet sink,yes
32,Sweep the scraps into the sink,carpet knife,no
33,Sweep the scraps into the sink,carpet sharp block,no
34,Sweep the scraps into the sink,carpet book,no
35,Sweep the scraps into the sink,tiger food,no
36,Sweep the scraps into the sink,tiger sink,no
37,Sweep the scraps into the sink,tiger knife,no
38,Sweep the scraps into the sink,tiger sharp block,no
39,Sweep the scraps into the sink,tiger book,no
40,Sweep the scraps into the sink,rainbow food,no
41,Sweep the scraps into the sink,rainbow sink,no
42,Sweep the scraps into the sink,rainbow knife,yes
43,Sweep the scraps into the sink,rainbow sharp block,yes
44,Sweep the scraps into the sink,rainbow book,no
45,Sweep the scraps into the sink,blue food,no
46,Sweep the scraps into the sink,blue sink,no
47,Sweep the scraps into the sink,blue knife,yes
48,Sweep the scraps into the sink,blue sharp block,yes
49,Sweep the scraps into the sink,blue book,no
50,Sweep the scraps into the sink,green food,no
51,Sweep the scraps into the sink,green sink,no
52,Sweep the scraps into the sink,green knife,yes
53,Sweep the scraps into the sink,green sharp block,yes
54,Sweep the scraps into the sink,green book,no
55,Sweep the scraps into the sink,olive food,no
56,Sweep the scraps into the sink,olive sink,no
57,Sweep the scraps into the sink,olive knife,yes
58,Sweep the scraps into the sink,olive sharp block,yes
59,Sweep the scraps into the sink,olive book,no
60,Sweep the scraps into the sink,orange food,no
61,Sweep the scraps into the sink,orange sink,yes
62,Sweep the scraps into the sink,orange knife,yes
63,Sweep the scraps into the sink,orange sharp block,yes
64,Sweep the scraps into the sink,orange book,no
65,Sweep the scraps into the sink,pink food,no
66,Sweep the scraps into the sink,pink sink,no
67,Sweep the scraps into the sink,pink knife,yes
68,Sweep the scraps into the sink,pink sharp block,yes
69,Sweep the scraps into the sink,pink book,no
70,Sweep the scraps into the sink,purple food,no
71,Sweep the scraps into the sink,purple sink,no
72,Sweep the scraps into the sink,purple knife,yes
73,Sweep the scraps into the sink,purple sharp block,yes
74,Sweep the scraps into the sink,purple book,no
75,Sweep the scraps into the sink,red food,no
76,Sweep the scraps into the sink,red sink,no
77,Sweep the scraps into the sink,red knife,yes
78,Sweep the scraps into the sink,red sharp block,yes
79,Sweep the scraps into the sink,red book,no
80,Sweep the scraps into the sink,yellow food,no
81,Sweep the scraps into the sink,yellow sink,no
82,Sweep the scraps into the sink,yellow knife,yes
83,Sweep the scraps into the sink,yellow sharp block,yes
84,Sweep the scraps into the sink,yellow book,no
