,rule,object_category,group,candidate,answer
0,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,L-shaped block,no
1,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,block,no
2,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,bowl,no
3,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,container,no
4,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,cross (block of this shape),no
5,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,diamond (block of this shape),no
6,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,flower (block of this shape),no
7,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,heart (block of this shape),no
8,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,hexagon (block of this shape),yes
9,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter A,no
10,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter E,no
11,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter G,no
12,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter M,no
13,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter R,no
14,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter T,no
15,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,letter V,no
16,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,pallet,no
17,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,pan,no
18,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,pentagon (block of this shape),no
19,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,ring (block of this shape),no
20,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,round (block of this shape),no
21,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,shorter block,no
22,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,small block,no
23,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,star (block of this shape),no
24,Sweep the hexagon into the square without touching the red pan,object to sweep,object type,triangle (block of this shape),no
25,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,brick,yes
26,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,tiles,yes
27,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,wooden,yes
28,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,granite,yes
29,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,plastic,yes
30,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,polka dot,yes
31,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,checkerboard,yes
32,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,tiger,yes
33,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,magma,yes
34,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,rainbow,yes
35,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,blue,yes
36,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,cyan,yes
37,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green,yes
38,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,olive,yes
39,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,orange,yes
40,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,pink,yes
41,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,purple,yes
42,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red,yes
43,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow,yes
44,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark blue,yes
45,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark cyan,yes
46,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green,yes
47,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark orange,yes
48,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark pink,yes
49,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark purple,yes
50,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red,yes
51,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow,yes
52,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and yellow stripe,yes
53,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and green stripe,yes
54,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and blue stripe,yes
55,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and purple stripe,yes
56,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and green stripe,yes
57,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and blue stripe,yes
58,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and purple stripe,yes
59,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green and blue stripe,yes
60,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green and purple stripe,yes
61,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,blue and purple stripe,yes
62,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and yellow stripe,yes
63,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and green stripe,yes
64,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and blue stripe,yes
65,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and purple stripe,yes
66,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and green stripe,yes
67,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and blue stripe,yes
68,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and purple stripe,yes
69,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green and blue stripe,yes
70,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green and purple stripe,yes
71,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark blue and purple stripe,yes
72,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and yellow polka dot,yes
73,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and green polka dot,yes
74,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and blue polka dot,yes
75,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red and purple polka dot,yes
76,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and green polka dot,yes
77,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and blue polka dot,yes
78,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow and purple polka dot,yes
79,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green and blue polka dot,yes
80,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green and purple polka dot,yes
81,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,blue and purple polka dot,yes
82,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and yellow polka dot,yes
83,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and green polka dot,yes
84,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and blue polka dot,yes
85,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red and purple polka dot,yes
86,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and green polka dot,yes
87,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and blue polka dot,yes
88,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow and purple polka dot,yes
89,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green and blue polka dot,yes
90,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green and purple polka dot,yes
91,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark blue and purple polka dot,yes
92,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red swirl,yes
93,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow swirl,yes
94,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green swirl,yes
95,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,blue swirl,yes
96,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,purple swirl,yes
97,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark red swirl,yes
98,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark yellow swirl,yes
99,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark green swirl,yes
100,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark blue swirl,yes
101,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,dark purple swirl,yes
102,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,red paisley,yes
103,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,yellow paisley,yes
104,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,green paisley,yes
105,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,blue paisley,yes
106,Sweep the hexagon into the square without touching the red pan,object to sweep,object color,purple paisley,yes
107,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,L-shaped block,no
108,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,block,no
109,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,bowl,no
110,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,container,no
111,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,cross (block of this shape),no
112,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,diamond (block of this shape),no
113,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,flower (block of this shape),no
114,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,heart (block of this shape),no
115,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,hexagon (block of this shape),no
116,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter A,no
117,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter E,no
118,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter G,no
119,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter M,no
120,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter R,no
121,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter T,no
122,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,letter V,no
123,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,pallet,no
124,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,pan,yes
125,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,pentagon (block of this shape),no
126,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,ring (block of this shape),no
127,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,round (block of this shape),no
128,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,shorter block,no
129,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,small block,no
130,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,star (block of this shape),no
131,Sweep the hexagon into the square without touching the red pan,object to avoid,object type,triangle (block of this shape),no
132,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,brick,no
133,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,tiles,no
134,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,wooden,no
135,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,granite,no
136,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,plastic,no
137,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,polka dot,no
138,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,checkerboard,no
139,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,tiger,no
140,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,magma,no
141,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,rainbow,no
142,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,blue,no
143,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,cyan,no
144,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green,no
145,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,olive,no
146,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,orange,no
147,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,pink,no
148,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,purple,no
149,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red,yes
150,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow,no
151,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark blue,no
152,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark cyan,no
153,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green,no
154,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark orange,no
155,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark pink,no
156,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark purple,no
157,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red,no
158,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow,no
159,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and yellow stripe,no
160,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and green stripe,no
161,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and blue stripe,no
162,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and purple stripe,no
163,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and green stripe,no
164,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and blue stripe,no
165,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and purple stripe,no
166,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green and blue stripe,no
167,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green and purple stripe,no
168,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,blue and purple stripe,no
169,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and yellow stripe,no
170,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and green stripe,no
171,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and blue stripe,no
172,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and purple stripe,no
173,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and green stripe,no
174,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and blue stripe,no
175,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and purple stripe,no
176,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green and blue stripe,no
177,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green and purple stripe,no
178,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark blue and purple stripe,no
179,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and yellow polka dot,no
180,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and green polka dot,no
181,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and blue polka dot,no
182,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red and purple polka dot,no
183,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and green polka dot,no
184,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and blue polka dot,no
185,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow and purple polka dot,no
186,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green and blue polka dot,no
187,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green and purple polka dot,no
188,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,blue and purple polka dot,no
189,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and yellow polka dot,no
190,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and green polka dot,no
191,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and blue polka dot,no
192,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red and purple polka dot,no
193,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and green polka dot,no
194,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and blue polka dot,no
195,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow and purple polka dot,no
196,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green and blue polka dot,no
197,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green and purple polka dot,no
198,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark blue and purple polka dot,no
199,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red swirl,no
200,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow swirl,no
201,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green swirl,no
202,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,blue swirl,no
203,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,purple swirl,no
204,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark red swirl,no
205,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark yellow swirl,no
206,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark green swirl,no
207,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark blue swirl,no
208,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,dark purple swirl,no
209,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,red paisley,no
210,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,yellow paisley,no
211,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,green paisley,no
212,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,blue paisley,no
213,Sweep the hexagon into the square without touching the red pan,object to avoid,object color,purple paisley,no
